"Intensity","E4","Composition","Points:0","Points:1","Points:2"
1.1658,1.853,0,-0.27891,-1.3327,-1.5974
1.1662,1.8557,0,-0.27891,-1.3097,-1.5974
1.1656,1.8524,0,-0.27891,-1.2867,-1.5974
1.1642,1.8437,0,-0.27891,-1.2637,-1.5974
1.1622,1.831,0,-0.27891,-1.2407,-1.5974
1.1598,1.8158,0,-0.27891,-1.2177,-1.5974
1.1569,1.7979,0,-0.27891,-1.1948,-1.5974
1.1536,1.7779,0,-0.27891,-1.1718,-1.5974
1.1504,1.758,0,-0.27891,-1.1488,-1.5974
1.1472,1.739,0,-0.27891,-1.1258,-1.5974
1.1443,1.7215,0,-0.27891,-1.1028,-1.5974
1.1417,1.7059,0,-0.27891,-1.0798,-1.5974
1.1396,1.6933,0,-0.27891,-1.0569,-1.5974
1.138,1.6839,0,-0.27891,-1.0339,-1.5974
1.1367,1.6766,0,-0.27891,-1.0109,-1.5974
1.1358,1.6711,0,-0.27891,-0.9879,-1.5974
1.1352,1.6673,0,-0.27891,-0.96491,-1.5974
1.1348,1.665,0,-0.27891,-0.94193,-1.5974
1.1347,1.664,0,-0.27891,-0.91894,-1.5974
1.1349,1.6651,0,-0.27891,-0.89596,-1.5974
1.1353,1.6678,0,-0.27891,-0.87297,-1.5974
1.1359,1.6706,0,-0.27891,-0.84999,-1.5974
1.1363,1.6729,0,-0.27891,-0.82701,-1.5974
1.1366,1.6747,0,-0.27891,-0.80402,-1.5974
1.137,1.6769,0,-0.27891,-0.78104,-1.5974
1.1374,1.679,0,-0.27891,-0.75805,-1.5974
1.1376,1.6798,0,-0.27891,-0.73507,-1.5974
1.1374,1.6787,0,-0.27891,-0.71208,-1.5974
1.1369,1.6757,0,-0.27891,-0.6891,-1.5974
1.1361,1.6708,0,-0.27891,-0.66611,-1.5974
1.1349,1.6641,0,-0.27891,-0.64313,-1.5974
1.1337,1.6569,0,-0.27891,-0.62015,-1.5974
1.1324,1.6492,0,-0.27891,-0.59716,-1.5974
1.1308,1.6396,0,-0.27891,-0.57418,-1.5974
1.1288,1.6282,0,-0.27891,-0.55119,-1.5974
1.1266,1.6157,0,-0.27891,-0.52821,-1.5974
1.1246,1.6039,0,-0.27891,-0.50522,-1.5974
1.1226,1.5925,0,-0.27891,-0.48224,-1.5974
1.1205,1.5807,0,-0.27891,-0.45926,-1.5974
1.1183,1.5686,0,-0.27891,-0.43627,-1.5974
1.1162,1.5567,0,-0.27891,-0.41329,-1.5974
1.1141,1.5453,0,-0.27891,-0.3903,-1.5974
1.1122,1.5349,0,-0.27891,-0.36732,-1.5974
1.1107,1.5268,0,-0.27891,-0.34433,-1.5974
1.1096,1.5207,0,-0.27891,-0.32135,-1.5974
1.1087,1.5157,0,-0.27891,-0.29836,-1.5974
1.108,1.5115,0,-0.27891,-0.27538,-1.5974
1.1073,1.5079,0,-0.27891,-0.2524,-1.5974
1.1067,1.5046,0,-0.27891,-0.22941,-1.5974
1.1061,1.5016,0,-0.27891,-0.20643,-1.5974
1.1058,1.4999,0,-0.27891,-0.18344,-1.5974
1.1057,1.4994,0,-0.27891,-0.16046,-1.5974
1.1056,1.4987,0,-0.27891,-0.13747,-1.5974
1.1053,1.4973,0,-0.27891,-0.11449,-1.5974
1.105,1.4954,0,-0.27891,-0.091504,-1.5974
1.1047,1.494,0,-0.27891,-0.06852,-1.5974
1.1046,1.4933,0,-0.27891,-0.045536,-1.5974
1.1044,1.4922,0,-0.27891,-0.022551,-1.5974
1.1041,1.4904,0,-0.27891,0.00043333,-1.5974
1.1036,1.488,0,-0.27891,0.023418,-1.5974
1.103,1.4851,0,-0.27891,0.046402,-1.5974
1.1024,1.4815,0,-0.27891,0.069387,-1.5974
1.1018,1.4785,0,-0.27891,0.092371,-1.5974
1.1013,1.4758,0,-0.27891,0.11536,-1.5974
1.1007,1.4724,0,-0.27891,0.13834,-1.5974
1.0999,1.4682,0,-0.27891,0.16132,-1.5974
1.099,1.4636,0,-0.27891,0.18431,-1.5974
1.0982,1.4598,0,-0.27891,0.20729,-1.5974
1.0977,1.457,0,-0.27891,0.23028,-1.5974
1.0972,1.4543,0,-0.27891,0.25326,-1.5974
1.0967,1.4518,0,-0.27891,0.27625,-1.5974
1.0963,1.4497,0,-0.27891,0.29923,-1.5974
1.0961,1.4483,0,-0.27891,0.32222,-1.5974
