Intensity,E4,Composition,Points:0,Points:1,Points:2
0.77178,0.35525,0,-0.10379,-0.16458,-0.50926
0.76256,0.33855,0,-0.10379,-0.15675,-0.50926
0.75384,0.32331,0,-0.10379,-0.14891,-0.50926
0.7457,0.30954,0,-0.10379,-0.14108,-0.50926
0.7382,0.29723,0,-0.10379,-0.13325,-0.50926
0.73139,0.28638,0,-0.10379,-0.12541,-0.50926
0.72532,0.27695,0,-0.10379,-0.11758,-0.50926
0.72002,0.26892,0,-0.10379,-0.10974,-0.50926
0.71552,0.26222,0,-0.10379,-0.10191,-0.50926
0.71181,0.2568,0,-0.10379,-0.094075,-0.50926
0.70889,0.25258,0,-0.10379,-0.08624,-0.50926
0.70672,0.24948,0,-0.10379,-0.078406,-0.50926
0.70526,0.2474,0,-0.10379,-0.070572,-0.50926
0.70444,0.24625,0,-0.10379,-0.062738,-0.50926
0.70421,0.24592,0,-0.10379,-0.054904,-0.50926
0.70447,0.24629,0,-0.10379,-0.04707,-0.50926
0.70513,0.24724,0,-0.10379,-0.039236,-0.50926
0.70612,0.24864,0,-0.10379,-0.031402,-0.50926
0.70732,0.25037,0,-0.10379,-0.023567,-0.50926
0.70866,0.25229,0,-0.10379,-0.015733,-0.50926
0.71003,0.25428,0,-0.10379,-0.0078992,-0.50926
0.71135,0.25621,0,-0.10379,-0.0000651,-0.50926
0.71255,0.25798,0,-0.10379,0.007769,-0.50926
0.71357,0.25948,0,-0.10379,0.015603,-0.50926
0.71433,0.26063,0,-0.10379,0.023437,-0.50926
0.71481,0.26135,0,-0.10379,0.031271,-0.50926
0.71496,0.2616,0,-0.10379,0.039106,-0.50926
0.71478,0.26134,0,-0.10379,0.04694,-0.50926
0.71424,0.26057,0,-0.10379,0.054774,-0.50926
0.71336,0.2593,0,-0.10379,0.062608,-0.50926
0.71215,0.25756,0,-0.10379,0.070442,-0.50926
0.71065,0.25539,0,-0.10379,0.078276,-0.50926
0.70889,0.25286,0,-0.10379,0.08611,-0.50926
0.70692,0.25004,0,-0.10379,0.093944,-0.50926
0.70479,0.24703,0,-0.10379,0.10178,-0.50926
0.70256,0.24391,0,-0.10379,0.10961,-0.50926
0.70031,0.24078,0,-0.10379,0.11745,-0.50926
0.6981,0.23772,0,-0.10379,0.12528,-0.50926
0.69599,0.23484,0,-0.10379,0.13311,-0.50926
