Intensity,E4,Composition,Points:0,Points:1,Points:2,Run-Aver-E4,Conv-Gauss
1.0962,1.4446,0,-0.10379,-0.48578,-0.50926,0.42985,6.71565
1.0904,1.4146,0,-0.10379,-0.47795,-0.50926,0.431099,6.77653
1.086,1.3918,0,-0.10379,-0.47011,-0.50926,0.432673,6.83731
1.0829,1.3757,0,-0.10379,-0.46228,-0.50926,0.434579,6.89782
1.0809,1.3654,0,-0.10379,-0.45444,-0.50926,0.436895,6.95818
1.0797,1.3594,0,-0.10379,-0.44661,-0.50926,0.439542,7.01822
1.079,1.3557,0,-0.10379,-0.43878,-0.50926,0.442515,7.07799
1.0782,1.3517,0,-0.10379,-0.43094,-0.50926,0.445807,7.13755
1.0768,1.3445,0,-0.10379,-0.42311,-0.50926,0.449414,7.19672
1.0742,1.3317,0,-0.10379,-0.41527,-0.50926,0.453408,7.25561
1.0704,1.3127,0,-0.10379,-0.40744,-0.50926,0.457716,7.31407
1.0653,1.288,0,-0.10379,-0.39961,-0.50926,0.462347,7.37214
1.0591,1.2586,0,-0.10379,-0.39177,-0.50926,0.467328,7.42986
1.0521,1.2256,0,-0.10379,-0.38394,-0.50926,0.472775,7.48707
1.0444,1.1899,0,-0.10379,-0.3761,-0.50926,0.47869,7.54388
1.0361,1.1525,0,-0.10379,-0.36827,-0.50926,0.485206,7.60013
1.0273,1.114,0,-0.10379,-0.36043,-0.50926,0.492577,7.65594
1.0182,1.0751,0,-0.10379,-0.3526,-0.50926,0.501001,7.71113
1.0088,1.036,0,-0.10379,-0.34477,-0.50926,0.510848,7.76574
0.99921,0.99722,0,-0.10379,-0.33693,-0.50926,0.522674,7.81984
0.98947,0.95894,0,-0.10379,-0.3291,-0.50926,0.536969,7.87324
0.97961,0.92133,0,-0.10379,-0.32126,-0.50926,0.554407,7.92606
0.96965,0.8845,0,-0.10379,-0.31343,-0.50926,0.575543,7.97815
0.95962,0.84852,0,-0.10379,-0.3056,-0.50926,0.601076,8.02953
0.94952,0.8134,0,-0.10379,-0.29776,-0.50926,0.631165,8.08026
0.93935,0.77916,0,-0.10379,-0.28993,-0.50926,0.6654,8.13017
0.92911,0.74579,0,-0.10379,-0.28209,-0.50926,0.702871,8.17937
0.9188,0.71326,0,-0.10379,-0.27426,-0.50926,0.742377,8.2277
0.9084,0.68157,0,-0.10379,-0.26643,-0.50926,0.783246,8.27521
0.89792,0.6507,0,-0.10379,-0.25859,-0.50926,0.825277,8.32193
0.88736,0.62065,0,-0.10379,-0.25076,-0.50926,0.869111,8.36772
0.87671,0.59144,0,-0.10379,-0.24292,-0.50926,0.916066,8.41266
